گند,سرمایه گذاری بی ام دبلیو در ایران تاریخ انتشار : چهارشنبه ۱۷ آذر ۱۳۹۵ ساعت ۱۴:۲۵ اقتصاد ایران شرایط تازه ای را تجربه می گند به طوریکه بسیاری از شرکت های شاخص دنیا تمایل به سرمایه گذاری در ایران را قصد دارند به مرحله اجرا در بیاورند
پرکننده,برچسب ها مواد پرکننده دندان آمالگام و همچنین در برخی از گونه
پرکننده,کد خبر: ۱۱۱۸۱۶   تاریخ انتشار: ۱۳۹۵/۰۳/۲۵ اشاره به اینکه آمالگام ماده پرکننده دندان حاوی جیوه است
جداشدن,تاريخ انتشار: 11:44 - ۱۳۹۵ يکشنبه ۲۸ آذر کد خبر: 70625 تعداد نظرات : 0 جداشدن کشنده از تانکر 31 هزار لیتری بنزین در بزرگراه شهیدچمران/ راننده از چنگال مرگ گریخت سخنگوی سازمان آتش‌نشانی تهران گفت: جدا شدن کشنده از تانکر 31 هزار لیتری بنزین، آتش‌نشانان را به محل حادثه کشاند
پرکننده,استفاده از فیلر ها یا پرکننده‌ها که می‌تواند نوعی ژل یا چربی خود بدن باشد، نیز از روش‌های رایج درمان جای جوش محسوب می‌شود، اما این روش به دلیل عوارضی که دارد، شیوه مطلوبی نیست
ساییدن,این روش برای یک متخصص پوست و زیبایی، ایمن ترین روش ممکن برای ساییدن پوست با اهداف درمانی است
دورکردن,در علوم اجتماعی تأکیدی که فارغ از ابعاد اخلاقی و عدالتی در این امر وجود دارد، بر جنبه های مثبتی است که رفتارهای عدالت جویانه و برابر طلبانه در ثبات جامعه، دورکردن آن از تنش و خشونت دربر دارند
ترسیدن,وی گفت، باور کردن به سوژه این فیلم و ترسیدن،  مساوی با  « باور کردن به  قصه ترسناک در باره خرس هایی است که در  شهرهای روسیه و میدان سرخ  گردش می کنند»
انباشتن,می خواهید بدانید که ساخت این خشکی چطور ممکن است؟ با انباشتن حجم عظیمی خاک و شن تا زمانی که یک جزیره مصنوعی در آب ساخته شود
اژانس,"دبکا فایل در بحش نتیجه گیری این گزارش می نویسد:""همه این موارد نشان می دهند که ایران اژانس و مفاد برجام را به استهزا گرفته است و تا پایان سال 2017 میلادی می تواند سلاح هسته ای اش را بسازد"""
ایین,دو ساعتی پشت درهای بسته جلسه مدیران منتظر ماندیم تا بتوانیم پاسخ سوالاتمان را در مورد علت نشدن اجرای طرح رجیستری موبایل، طولانی شدن جلسات و تدوین ایین نامه های قانون جدید مبارزه با قاچاق و کد رهگیری در یک مصاحبه تفضیلی جویا شویم
پزو,در همین حال ارزش پزو، واحد پولی مکزیک هم به کمترین حد در مقابل دلار رسیده است
دورکردن,این جدیدترین تدبیر مدیران این موسسه مطبوعاتی برای دورکردن حاشیه از این موسسه بود
افسونگر,فیلمهای دیگری که در هفته اخیر روی پرده رفتند از محصولی کاملا تجاری به نام «افسونگر» تا درامی با زمینه های سیاسی به نام «ماحی»، رئال-انیمیشن «مبارک» و فیلمی با مضمون مبارزه با گروههای تکفیری با نام «جشن تولد» هیچ کدام نتوانستند فروش مطلوبی داشته باشند
افسونگر,وقتی فیلمی مانند «جشن تولد» فقط 6 سالن مفید دارد و فیلمی دیگر به نام «افسونگر» فقط 4 سالن بدیهی است که نمی توان انتظار فروشهای بالا که هیچ حتی انتظار فروش متوسط را از آنها داشت و دقیقا همین مسأله باعث شده این آثار همگی در رده های پایین جدول فروش قرار گیرند
افسونگر,در موردی مانند «افسونگر» پخش کننده ای به نام راه عرفان وجود دارد که در همه این سالها نتوانسته سالنهای کافی برای آثارش بگیرد اما در مورد «جشن تولد» پخش کننده ای قوی همچون حوزه هنری کنار فیلم است اما باز هم تعداد سالن کافی به فیلم تخصیص نیافته
افسونگر,در میان این آثار «مبارک» و «ماحی» فروش بهتری از بقیه داشته اند اما «افسونگر» و «جشن تولد» به قعر چسبیده اند
شتری,آن چنان که مورخان نوشته ‏اند: امام زین‏ العابدین علیه السلام را بر شتری برهنه سوار کرده بودند و دست‏های مبارک آن حضرت را بر گردن وی بسته، بر تن او زنجیر نهاده و (7) هر دو پای او را به شکم شتر بسته بودند
هییت,ملایر ونایب رییس کمیسیون قضایی هستند وباید هییت نظارت بر
علفی,"گزارش میدانی ""خبرگزاری فرانسه"" از قحطی در آفریقا و سکوت جامعه بین المللی؛ این کودکان برای ""مردن"" به دنیا می‌آیند! ۲۵۰ هزار کودک زیر سن ۵ سال با خطر ابتلا سوءتغذیه شدید در این کشور مواجه هستند و در صورتی که اقدامی برای بهبود این شرایط صورت نگیرد، احتمال مرگ ۵۰ هزار کودک وجود دارد، کودکانی که از برگ درخت تغذیه می‌کنند! گروه بین الملل « نسیم آنلاین »- ""استفن هیونیس""، خبرنگار خبرگزاری فرانسه در گزارشی میدانی نوشت: شاید فصل بارندگی باشد اما دشت بی‌آب و علفی که زیر پای من است، سرزمینی پر از گرد و غبار، خشک و قهوه‌ای است که  با تارهای عنکبوت به خطوط آهن و پیاده روها متصل شده است"
فتوکپی,حاضر مغازه های فتوکپی هستند وقتی می گوییم فروشگاه لوازم
مسدس,"صورة لطفلة سورية ""تستسلم"" لكاميرا اعتقدتها ""مسدس"" السبت 4 إبريل 2015 - 14:18 بتوقيت غرينتش بالصور"
واداشتن,نیمی از این زنان به طور اتفاقی پس از به هوش آمدن آدامس می‌جویدند و نیمی دیگر تنها مراقبت‌های معمول را دریافت می‌کردند،‌ از جمله واداشتن بیمار به بیرون رفتن از بستر و راه رفتن تا روده‌ها زودتر به کار بیفتند
سیه,شیطانی که قسم بر شقاوت و سیه روزی ما خورده است
سیه,کد خبر: ۱۶۴۴۱۱   تاریخ انتشار: ۱۳۹۶/۰۴/۲۰ ریز سعیدغلامی ساخت تیزر کاوه آهنگر عکاس صبا سیه پوش
بلندکردن,بلندکردن جسم سنگین مانند یک ضربه به زانو عمل می‌کند و با تکرار این کار، ضربه‌ها مکرر می‌شود و به تدریج غضروف لایه‌لایه خواهد شد و این آسیب هر بار ضخامت غضروف را کمتر و کمتر می‌کند تا اینکه بیماری آرتروز شروع می‌شود مفصل زانو نباید بیش از 100 درجه خم شود
بلندکردن,بلندکردن جسم سنگین مانند یک ضربه به زانو عمل می‌کند و با تکرار این کار، ضربه‌ها مکرر می‌شود و به تدریج غضروف لایه‌لایه خواهد شد و این آسیب هر بار ضخامت غضروف را کمتر و کمتر می‌کند تا اینکه بیماری آرتروز شروع می‌شود
اوردن,البته در مقطعی از فصل باشگاه توصیه کرد که اگر یک مربی که علاقه ای به اوردن اسمش ندارم به تیم اضافه کنیم تا حدودی مشکلات مالی باشگاه حل می شود
ساییدن,تاريخ : مشكلات پوستی ناشی از ورزش(2) در مطلب قبل، در مورد ناراحتی های پوستی ورزشکاران که در اثر تعریق زیاد، ساییدن و عفونت های باکتریایی به وجود می آید برای شما مطالبی را ارائه کردیم
بالاکشیدن,پارسایی همچنین افزود: «براساس این پرونده کاملا مشخص است که قرارداد خرید دکل فورچنا، آگاهانه منعقد شده و هدف از آن بالاکشیدن پول‌های شرکت تأسیسات دریایی بوده است
دورکردن,جودت خاطرنشان کرد: اعلامیه هایی در شهر فلوجه برای دورکردن شهروندان عراقی از پایگاه های درگیری و همچنین اجازه ندادن به دشمن برای استفاده از انها به عنوان سپر انسانی انداخته شده است
کشدار,کد خبر: ۷۲۲۱۴۱   تاریخ انتشار: ۱۳۹۶/۰۳/۰۹ برنامه منصوریان برای غلبه بر گرمای شدید امارات است و العینی ها نیز می خواهند بازی آنقدر کشدار
کشدار,العینی ها نیز می خواهند بازی آنقدر کشدار شود که
ایین,", فمپ3 , نرم افزار , ابزار متن , narm afraz , abzar matn قابلیتی که به طور ویژه در نرم افزارهای نور می باشد ایین است که می توان متن های دلخواه در نرم افزار را انتخاب و رنگ آن را عوض کرد و برای آن یک موضوع مشخص کامنت گذاشت و در جاهای دیگر می توان مشابه آن موضوع را در زیرمجموعه ی آن قرار داد"
علفی,کد خبر: ۱۲۷۴۱   تاریخ انتشار: ۱۳۹۲/۰۵/۰۲ مدیر حفظ نباتات سازمان جهاد کشاورزی اردبیل: سرطان جالیز علفی است که برای ریشه کنی آن به
سنجیدن,براساس برنامه‌ریزی‌های انجام شده ایرلاین‌ها باید با سنجیدن شرایط پروازی خود، روزهای سفر، تعداد مسافران دائمی و البته ساعتی که پرواز در آن صورت می‌گیرد نرخ بلیت خود را ارائه می‌کردند
ابادان,تحديد الفرق المشاركة في بطولة العالم للمصارعة الرومانية في ابادان السبت 18 فبراير 2017 - 17:11 بتوقيت غرينتش 1% من الناس سينجحون في فك لغز هذه الصورة
سیه,سیه را تولید می کند جنرال موتورز اعلام کرده تغییرات
گبر,از آن جا که نام جابر در قرون سیزدهم و چهاردهم میلادی به صورت گبر نوشته می شده، مارسلن برتلو، کیمیادان بزرگ فرانسوی، به دو جابر، یکی عربی و دیگری لاتین قایل است
جداکردن,امام جمعه ی یاسوج در بخش دیگری از خطبه های  امروز نماز جمعه با اشاره به سالروز شهادت آیت الله مفتح و نامگذاری این  روز به عنوان روز وحدت حوزه و دانشگاه، افزود: دو قشر مهم حوزوی و دانشگاهی  همیشه باید با هم وحدت داشته باشند و مسیر حوزه و دانشگاه هیچ وقت نباید  از هم جدا شود زیرا دشمنان همواره به دنبال جداکردن و ایجاد تفرقه میان  دانشگاهیان و حوزویان بودند
ارام,وی در پایان اظهار داشت: صراحتا اعلام می داریم تا تمام مسئولین بدانند که اگر جایی پایشان بلغزد یا روحیه ی انقلابی گری را کنار بگذارند ما فرزندان خمینی کبیر و پیروان امام خامنه ای لحظه ای ارام نخواهیم گرفت و تا پای جان بر سر آرمان های انقلاب خواهیم ایستاد
دریافتن,کد خبر: ۳۶۹۰۵   تاریخ انتشار: ۱۳۹۵/۰۸/۲۴ از طریق یکی از فرودگاه های اصلی کشور صورت می‌گیرد: حاضر به پذیرفتن هیچ گونه تأخیر در دریافتن محموله خود
بالازدن,اقتضای اداها و  ادعاها و نمایش‎های سیاسی لایک و اشتراک گذاری و کامنت گذاری است؛ اما  دردهای اجتماعی آستین بالازدن می خواهد
خواباندن,دور از جان همه کارفرمایان محترم، شخصیت کارفرمای ناکارآمد و هیچ‌ندان که فقط پول دارد و از آدم و عالم بستانکار است یا باز هم دور از جان همه مشاوران زحمت‌کش، شخصیت مشاور عصاقورت‌داده لاف‌زن و فسیل که کارش فقط سنگ‌اندازی است و کار را خواباندن یا بلانسبت همه پیمانکاران خدوم اینجایی، شخصیت پیمانکار حقه‌باز و شارلاتان که همه‌فن‌حریف است و از آب کره می‌گیرد و پشت هم‌اندازی و شلتاقی نیست که در سوابق شغلی‌اش نباشد! دیگر نوع طنز را می‌توان طنز موقعیت نامید که اساس آن گیر کردن کلیشه‌های فوق است در وضعیتی معوج
دریده,داستان این فیلم درباره یک گروه شکارچی است که در قرن نوزدهم به شکار می‌روند اما یکی از اعضای گروه توسط یک خرس گریزلی دریده می‌شود
فکرکردن,کد خبر: ۸۸۸۹۵۹۹   تاریخ انتشار: ۱۳۹۶/۰۴/۲۹ ظریف: از سر گیری مذاکرات هسته‌ای غیرممکن است وزیر امور خارجه کشورمان گفت حتی فکرکردن درخصوص ازسرگیری گفتگوهای
گماشتن,امتیاز مثبت ۰ امام جمعه مشهد: انگلیس دانشگاه را برای مقابله با حوزه ایجاد کرد/ امیرکبیر باعث ایجاد سکولاریسم شد پنجشنبه ۲۸ آذر ۱۳۹۲ ساعت ۲۱:۲۳ کد مطلب: 217065   امام جمعه مشهد با بیان اینکه رشد علمی در جوامع سکولار دارای اشکال است اظهار کرد: میرزا تقی خان امیر کبیر یکی از افرادی بود که باعث ایجاد تفکر سکولاریسم در کشور ما شد و با ایجاد و تاسیس مدرسه دارلفنون و به کار گماشتن آخوندزاده و میرزا ملکم خان بی دین و سکولار سعی کرد اجازه ندهند دین به دارلفنون نفوذ کند
گماشتن,وی افزود: میرزا تقی خان امیر کبیر یکی از افرادی بود که باعث ایجاد تفکر سکولاریسم در کشور ما شد و با ایجاد و تاسیس مدرسه دارلفنون و به کار گماشتن آخوندزاده و میرزا ملکم خان بی دین و سکولار سعی کرد اجازه ندهند دین به دارلفنون نفوذ کند و این کار بخاطر این بود که آنها در سفری که به روسیه داشتند فکر کردند عامل پبشرفت آنها بی دینی است
ترسیدن,ما اگر قرار به ترسیدن بود اصلا شروع نمیکردیم
هییت,برچسب ها رمضان و حضور در هییت عزاداری است امروز نوبت جوانان
هییت,کد خبر: ۸۸۸۸۵۴۱   تاریخ انتشار: ۱۳۹۶/۰۴/۲۷ حاج محسن طاهری: خوانی شب های ماه رمضان و حضور در هییت عزاداری
ارام,رزمندگان درچه بود یک ماه به ماه محرم ارام و
جداشدن,برای ارتباط صوتی هم یک میکروفن بوم قابل جداشدن به همراه فیلتر 90 درصدی نویز محیط، ارتباط را در بازی با بالاترین کیفیت به همراه دارد
پزو,"به گفته وزارت دارایی مکزیک، کسری مالی این کشور در ماه ژانویه ٩١,٥ میلیارد پزو (معادل ٦"
کشدار,بررسی رفع فیلتر «فیس‌بوک» و «توییتر» در وزارت ارتباطات؟ شرق: پس از کش‌وقوس‌های بسیار و امید و یأس‌های کشدار پیرامون احتمال رفع‌فیل‌تر فیس‌بوک و تویی‌تر در ایران روز گذشته اظهارنظری از وزیر ارتباطات منتشر شد که مایوس‌کننده بود
هییت,مراسم رای گیری ۶ عضو هییت رییسه اتحادیه جهانی کشتی برگزار شد و از میان ۱۱ کاندیدای این پست رسول خادم با کسب ۷۶ رای از مجموع ۹۸ رای به عنوان نفر نخست راهی هیئت رییسه این اتحادیه شد و برای مدت ۴ سال در این سمت حضور خواهد داشت
ارام,راننده در جلوی خودرو متوجه می شود که باید به  ارام ترین حالت ممکن رانندگی کند و طولانی ترین مسیرها را انتخاب نماید
جداشدن,اثرات جداشدن انگلیس از اتحادیه بر اتحادیه نخستین تاثیر این جدایی می‌تواند تحریک سایر اعضا برای جدا شدن و درنهایت فروپاشی اتحادیه باشد، معضلات اقتصادی و رفاهی مردم در دو سال اخیر در برخی کشورها به این مسئله دامن زده و جدایی انگلیس هم به‌عنوان یکی از مهره‌های اصلی اتحادیه می‌تواند موجب تحریک سایر کشورهای عضو اتحادیه برای جدایی باشد
جداشدن,اثرات جداشدن انگلیس از اتحادیه بر سرمایه‌گذاری و کسب‌و‌کارها سال‌های 2014و 2015 انگلیس بین کشورهای اتحادیه نخستین مقصد سرمایه‌گذاران خارجی بود و هند و فرانسه بیشترین طرفداران این ماهیت اقتصادی بودند و بیشترین سرمایه‌گذاران هندی و فرانسوی در این کشور شروع به کار و سرمایه‌گذاری کردند اما در نتیجه با اتفاق‌های اخیر نه‌تنها وضعیت این سرمایه‌گذاران در ابهام می‌رود بلکه در آینده حجم جذبِ سرمایه‌گذاری‌های خارجی در انگلیس به‌شدت کم خواهد شد
شتری,در اینصورت است که آن ها از کنار آدم هایی که چیزهایی را که باید خوب بدانند، نمی دانند هم به راحتی عبور نکرده و به معلومات نداشته ایشان به دیده اغماض نگاه نمی کنند! کسی چه می داند! شاید برای ما ایرانیها عیب و ایرادهای بزرگ نادیدنی تر از خرده عیب ها باشد و برای همین است که بیشتر ما از همان خردسالی عادت به ندیدن شتری که می بینیم، داریم!
دریافتن,این به این معناست که به گوگل اجازه داده‌اید تا هر آنچه در ایمیل شماست، برای دریافتن کلید واژه‌ها اسکن کند
علفی,این آفت با گسترش به سمت مناطق گرمسیری آسیا و مدیترانه تهدید بزرگی علیه تجارت جهانی محصولات کشاورزی مهم و به طور عمده علفی همچون ذرت خوشه ای، برنج، نیشکر و نیز صیفی جاتی چون کلم، چغندر، بادام زمینی، دانه سویا، یونجه، پیاز، کتان، چمن مرتع، ارزن، گوجه فرنگی و سیب زمینی و حبوبات و علوفه های احشام و گیاهان دارویی نیز شده است
بادکردن,صورت ماه شکل و سندرم کوشینگ تشخیص سندرم کوشینگ سخت است، زیرا علائمی مثل ورم و بادکردن صورت می تواند در اثر بیماری های دیگری مثل آلرژی ها (حساسیت ها) نیز ایجاد شود
ترسیدن,» به جای ترسیدن از اینکه چه پیش می آید، با این کارها به خود امید موفقیت بدهید: • با همسالان خود که برای آنها ارزش و احترام قائل هستید در مورد برنامه هایتان صحبت و مشورت کنید
ایین,مهرداد بذرپاش نماینده سابق مردم  تهران در مجلس شورای اسلامی در گفت گو با خبرنگار سیاسی خبرگزاری بسیج با اشاره به اظهارات رییس جمهور مبنی بر ایین که از برجام صحبت کنید و نترسید گفت: نکاتی زیادی در مورد برجام گفته شده اما گوش شنوایی برای شنیدن آنها نیست؛ این که برجام توانسته توقعات و انتظارات مردم را برآورده بکند را باید از مردم پرسید و بهترین قاضی قطعا مردم هستند و تاریخ بهترین قضاوت را در این باره خواهد داشت
حنبلی,بر اساس فقه «حنبلی» نیز که وهابیت بیشتر به آن قائل است، دیه قتل الزحام به عهده بیت‌المال است و دولت عربستان باید این دیه را بپردازد
جاافتاده,از سوی دیگر اگرچه فقدان آقای هاشمی برای ما سنگین است، اما شخصیت‌های بزرگی داریم و سازمان‌های جاافتاده‌ای که می‌توانیم خودمان را جمع کنیم؛ یعنی مشکل چندانی نداریم؛ اما در قسمت دوم جای نگرانی وجود دارد، زیرا آقای هاشمی حلقه وصل جامعه و حکومت بود، به‌ویژه از ۸۸ به این طرف
ایین,یکی از سئوالات برنامه از طالقانی دلیل انتخاب داریوش ارجمند به عنوان سخنگوی فدراسیون بود طالقانی گفت شما می دونستید پایانامه دکترای ایشان از دانشگاه سوربن فرانسه کشتی پهلوانی و ایین های فرهنگی ایران زمین است و برای همین خواستیم صدای کشتی پهلوانی از زبان مالک اشتر (اشاره به نقش ارجمند در سریال امام علی ع ) شنیده شود طالقانی در پاسخ به این سوال که چرا تا حالا در این مورد حرفی زده نشده بود گفت من چون رفیق ایشان هستم این موضوع را می دانستم
شتری,حتی  در ایام محرم، دامپزشکی استان زنجان اجازه ذبح هیچ شتری را به عزاداران  نداد
ضربی,فنون زیبایی که در شکل‌ گیری بازار نقش بی بدیلی بازی می کنند کاربرد انواع طاق و قوسهای هلالی، جناغی و ضربی و گهواره‌ ای است
پزو,تولیدات کشاورزی حدود 210 میلیارد پزو با قیمت های ثابت
جداکردن,در این مجال؛ باوجود سوابق تاریخی ده-پانزده ساله موجود در ترکیب اعضا و نوع عملکرد هر سه دوره شورای اسلامی شهر تهران و حافظه قوی مردم فهیم و شریف شهر تهران؛ فرصتی برای نقد عملکرد کلی مجموعه اعضای شورای اسلامی و جداکردن نقاط قوت و ضعف سه دوره قبلی شورای اسلامی شهر و مدیریت شهری پایتخت نیست؛ لیکن باتوجه به در پیش رو بودن چهارمین دوره انتخابات شوراهای اسلامی شهر و روستا که همزمان با یازدهمین دوره انتخابات ریاست جمهوری برگزار می شود و به فضل و رحمت الهی نمود عینی و حداکثری حماسه سیاسی و لبیک معناداری به مقام عظمای ولایت توسط عموم مردم انقلابی و ولایت مدار ایران اسلامی خواهد بود، برخی موارد و مقتضیات این دوره از انتخابات شورای اسلامی شهر تهران ارایه می شود که امید است مورد توجه مردم متدین؛ دلسوزان انقلاب اسلامی؛ نخبگان و متخصصین متعهد؛ افراد دارای وجهه فرهنگی و ذی نفوذ در هیئات و تجمعات و صاحبان فکر، قلم، بیان و نیز افرادی که در تهیه و تنظیم لیست های انتخاباتی چهارمین دوره شورای اسلامی شهر تهران نقش دارند؛ قرار بگیرد تا در اثر این دقت و اخلاص و نیز فراست همگانی، جامع ترین؛ مناسب ترین؛ خدمتگزارترین؛ مؤثرترین و مفیدترین چهره ها برای خدمتگزاری عالمانه و دلسوزانه در همه عرصه های فرهنگی؛ اجتماعی؛ اخلاقی؛ علمی؛ خدماتی؛ عمران شهری و
ایین,به گزارش پایگاه خبری« عصربازار »، حامد مظاهریان در گفتگو با خبرگزاری صداو سیما گفت:ایین‌نامه لیزینگ مسکن در بانک مرکزی نوشته شده و در صف تصویب شورای پول و اعتبار قرار گرفته است و اردیهشت ماه در شورای عالی پول و اعتبار تصمیم گیری می شود
خز,ونوس در پوست خز جدیدترین فیلمش را با عنوان بر
سنجیدن,وی تصریح کرد: هرگونه تغییر در این شرکت جز با سنجیدن همه جوانب کار با هدف افزایش پویایی و تحرک صنعت برق انجام نمی شود
جاافتادن,ب:جاافتادن اهمیت سلامت دهان و دندان و هزینه برای پیشگیری توسط مردم: سبد هزینه‌های خانواده سهم سلامت دهان و دندان باید لحاظ شود
ارام,دانست واکنش تقریبا ارام درباره انتخابات ریاست جمهوری در آن
ارام,دانست واکنش تقریبا ارام درباره انتخابات ریاست جمهوری در آن
دوشیزه,دختران دوشیزه در این سایت پذیرش نمی‌شوند و ارائه خدمات به بانوان تمامی ادیان انجام می‌گیرد اما در مورد آقایان نیز شرایط ویژه‌ای مدنظر است، چراکه متاهلین مجاز به ثبت‌نام در این سایت نیستند مگر با ارائه دلیل موجه و همچنین آقایان برای ثبت‌نام ماهانه باید از موقعیت اجتماعی و تمکن مالی خوبی برخوردار باشند
امدن,کد خبر: ۹۲۶۴۹   تاریخ انتشار: ۱۳۹۵/۰۱/۲۵ بیادی از حامیان روی کار امدن احمدی نژاد: در آمل گفتند - بله در آمل گفتند ببینید هرکسی
تمثیل,"چرا دیگر ""یاربّ"" نمی‌گویی!؟ بخش اخلاق و عرفان اسلامی تبیان مولوی تمثیل آورده است که فردی نشسته بود و ""یاربّ"" می‌گفت"
شتری,استخدام نیروهای به ظاهر عزادار شبکه مردمی اطلاع رسانی(شمانیوز): همه ما این مثل قدیمی را شنیده‌ایم که مرگ شتری است که در خانه همه می‌خوابد
شتری,همچنین هیچ محدودیتی برای تعداد افراد و یا ترکیب نیروها متشکل از آقا و خانم وجود ندارد همه ما این مثل قدیمی را شنیده‌ایم که مرگ شتری است که در خانه همه می‌خوابد
ردشدن,روایت زنانه رانندگی در تهران سبک رانندگی در تهران در حال تبدیل شدن به یکی از مشخصه‌های این شهر شلوغ است؛ رانندگی میلی‌متری، پارک‌کردن در پیاده‌روها و ردشدن از بین مخلوطی از آدم‌ها و ماشین‌ها از ویژگی‌های رانندگی در تهران است
ردشدن,سبک رانندگی در تهران در حال تبدیل شدن به یکی از مشخصه‌های این شهر شلوغ است؛ رانندگی میلی‌متری، پارک‌کردن در پیاده‌روها و ردشدن از بین مخلوطی از آدم‌ها و ماشین‌ها از ویژگی‌های رانندگی در تهران است
گستردن,- باب غیبت/ حدیث10: اگر به شما خبر رسید که صاحب این امر (رسالت مهم الهى در گستردن دین و عدل در عالم) غایب شده است، این مسئله را انکار نکنید
درخشیدن,حدود دو سال مشقت و دشواری و رنج و تعب، در راه نیل به تحقق عملی اعتلای حقوق هسته‌ای و تعین مصداق کاربست اراده یک دولت در پیشبرد صلح جهانی از سوی ملت و هیأت نمایندگان مذاکره کننده ایرانی، در پرتو رفتاری منسجم و یگانه که اوصاف اخلاقی والایی چون خویشتنداری در مقابل کنایه‌های تحقیر آمیز دنیای غرب، بزرگ‌منشی در برابر تهدید نخ‌نمای گزینه‌های روی میز، حفظ و نمایش ادب و تمدن در جریان گفتگوها در عین صلابت و شجاعت را در بردارد، و از همه مهم‌تر التزام به عزت و سربلندی کشور توأم با بکارگیری ظریفانه حکمت و مصلحت در چارچوب مشی در زوایای مجاز خط قرمزهای شرافت اسلامی و حمیت ملی که تبلور عینی عبارت نغز مقام معظم رهبری مبنی بر «نرمش قهرمانانه» بود، گر چه با خون دل و صبر بر مصائبی چون تحریم و مشکلات اقتصادی ناشی از آن طی شد، لیکن طرحی نو و هنرمندانه درانداخت و ستاره ای در «سپهر سیاست جهانی» درخشیدن گرفت که تا پیش از این در تاریخ دیپلماسی سبقه‌ای از صبغه ی آن به چشم نمی‌خورد
تمثیل,حكایت هلاكت این اقوام درس عبرت خوبی برای تمام عصرها و نسل ها به شمار می رود، اگرچه انسان های نگون بخت از این حوادث پند نمی گیرند و جا پای آنان می گذارند! نكته قابل توجه اینكه در این دو تمثیل و دیگر تمثیلات قرآنی از نام قریه و محل آن و پیامبرانی كه در آن جا مبعوث شدند و مردی كه به یاری آنان شتافت و مانند این ها سخن به میان نیامده است و حكایت ها در نهایت ایجاز و اختصار مطرح شده است
فراش,در ادبیات و زندگی تاریخی ایرانیان با دلایل و طرز فکرهای گوناگون از هر پدیده و موضوع مهم به شکل نمادین، نشانه جانشینی را انتخاب کرده و با استفاده از آن درون متن ادبی، تصویری و زندگی اجتماعی، جهان فرهنگی خود را ساخته اند در «فرهنگ نامه پارسی آریا» واژه پارسی شده طاووس را «فراش مرغ» آورده اند؛ شاید از آن جهت که بال های خود را همچون فرشی نگارین بر زمین می گستراند
فراش,«فراش مرغ» ، پرنده ای سرشار از شگفتی
فراش,«فراش مرغ» ، پرنده ای سرشار از شگفتی
سیه,گرامی از تلاش‌ های جناب آقای چانگ سیه – کیون
