word,sentence
جداشدن,از سوی دیگر،تماشاگر مطلع با فقدان موضوعاتی چون؛عدم پرداخت ریشه یابی نام کشور عراق،ریشه لغوی بغداد،خرابه های تیسفون و طاق کسری (خسرو)،تحولات عثمانی و نحوه جداشدن عراق از عثمانی و ترکیه امروز،عدم توجه معنادار  به حضور بنیانگزار انقلاب در عراق،چرایی جنگ ۱۶ کشور در کنار عراق علیه ایران،چرایی حمله موشکی صدام به اسراییل پیش از اتمام حمله امریکا و اشغال بغداد و دلیل برزبان آوردن جملات ؛مرگ بر اسراییل ،مرگ بر ایرانی آتش پرست و زنده باد فلسطین توسط صدام حسین،نمی تواند به استنادهای این مستند پر زرق و برق،دلخوش کند
تاباندن,حال لازم است هنرمندی آن‌را به‌وجهی کمال‌یافته تبدیل به تصویر کند برای تاباندن بر پرده و ذهن تماشا کند
جداشدن,دلیل ترس نسبت به جداشدن از تلفن همراه   آفتاب نیوز   ۳۱ دقیقه پیش آفتاب‌‌نیوز : اینکه یک کاربر برای هشت ساعت طی یک روز، به نمایشگر کوچک دستگاه تلفن همراه خود خیره شود امروزه امری عجیب نیست
درخشیدن,این مدرس فلسفه اسلامی ادامه داد: اگر قابلیت های دینی و هنری جوانان مستعد و توانای هر محله از سوی استادان این جشنواره با نگاهی کیفی شناسایی شوند و زمینه های رشد و درخشیدن این افراد در جهت خلق شایستگی های برتر فراهم گردد بدون شک در میان نسل های جوان آن منطقه نیز اثرات به جایی خواهد داشت؛ چرا که ایمان، اخلاق دینی، معنویت و تقوا به مثابه آتش است و هر چیزی که در کنار آتش قرار گیرد به آن نیز سرایت خواهد کرد
اوردن,مور می گوید:«اگر شما نمی توانید خوب زندگی را پیش ببرید ،بچه اوردن به نیت بهبود روابط ممکن است کوبیدن آخرین میخ بر تابوت زندگیتان باشد وبا بر انگیختن حسادت همسرتان احساسات او را بکشید
ساییدن,این پلاک ها اگر از روی دندان پاک نشوند روی آن تجمع کرده و شروع به ساییدن مینای دندان می کنند
دریافتن,اپل Music البته شباهت‌هایی به سرویس موسیقی قبلی اپل هم دارد برای دریافتن تفاوت آنها پرسش و پاسخ‌های زیر را بخوانید :  اپل Music چیست ؟ اپل موزیک یک سرویس موسیقی است که به شما اجازه می‌دهد به هر موسیقی روی آی‌تیونز گوش دهید
فتوکپی,معاون شهردار منطقه یک گفت: افراد کم سواد و بی سواد با ارائه فتوکپی و تصویر شناسنامه ،کپی کارت ملی و … به سرای محلات مراجعه کرده و ضمن معرفی خود، با روند آموزش‌ها آشنا می‌شوند
جاگذاشتن,هفته هشتم مرحله دوم مقدماتی جام جهانی، دوشنبه 22/03/96، ساعت 21:15، ورزشگاه آزادی   داور: احمد ابوبکر(عمان)                کمک ها: حامد سلیمان، ابوبکر سلیم(عمان)   تیم ملی ایران:  علیرضا بیرانوند، سید جلال حسینی، مرتضی پورعلی‌گنجی، رامین رضاییان، میلاد محمدی، سعید عزت‌اللهی، علی کریمی، علیرضا جهانبخش(2+45 وحید امیری)، مهدی طارمی(90 رضا قوچان نژاد)، مسعود شجاعی(69 اشکان دژاگه) و سردار آزمون سرمربی: کارلوس کی روش    تیم ملی ازبکستان:  لوبانوف، کریمتس، شوراخمدوف، اسماعیلف، آندرف(7 داورونبک خاشیموف)، آفونین(53 سردار رشیدوف)، حیدروف، اخمدوف، شمورودوف، سرگیف و عبدولخولیکوف(62 جلال الدین ماشاریپوف) سرمربی: ساموئل بابایان آفونین(28) - خاسیموف(3+90) از ازبکستان سردار آزمون (76) از ایران   شرح گل ها ایران 1 ازبکستان 0 (دقیقه 23، سردار آزمون): در حالی که بازی در میانه میدان در حال انجام بود حمله غافلگیرانه ملی پوشان ایران دروازه ازبکستان را باز کرد، پاس دیدنی علیرضا جهانبخش در موقعیت فوق العاده ای به آزمون رسید و سردار نیز پس از جاگذاشتن مدافع ازبکستانی به محوطه جریمه رسید و موفق شد با ضربه ای دقیق دینی دروازه لوبانوف را باز کند
فتوکپی,-  تجهیزت اداری مانند پرینترها و ماشین‌های فتوکپی
جداکردن,ها و مقدمه جداکردن هرات از پیکر ایران 23 ژانویه
فراگرفتن,وی  با بیان اینکه این هتل به دلیل اشتعال نماهای کامپوزیت دچار آتش سوزی شده  است، گفت: دلیل آتش سوزی پروژه هایی که از نمای کامپوزیت آلومینیم استفاده  می کنند بیشتر به دلیل عوامل کارگاهی یا عدم فراگرفتن مهارت های کافی در  این زمینه است
سیه,منشا: نمیتوانم موهایم را به سنت شما اصلاح کنم روز نو : مهاجم سیه‌چرده پرسپولیس که این روز‌ها حسابی خبرساز شده است قصدی مبنی بر ایجاد تغییر در وضع ظاهری‌اش ندارد
جداکردن,در ادامه عملیات آواربرداری در قسمت جنوب غربی ساختمان پلاسکو، آتش‌نشانان از ساعتی قبل به منظور جلوگیری از ورود خسارت به ساختمان مجاور، اقدام به برش ستون این بخش از ساختمان به شیوه هوابرشی کرده و سرانجام دقایقی بعد با استفاده از جرثقیل اقدام به جداکردن این بخش کردند
سیه,زیبایی‌شناسی وقتی او را از بیابان آوردند دید یک زن عادی‌ سیه‌چرده است: به مجنون گفت روزی عیبجویی که پیدا کن به از لیلا نکویی که لیلا گرچه در چشم تو حوری است به هر عضوی از اعضایش قصوری است چو مجنون این سخن بشنید آشفت در آن آشفتگی خندان شد و گفت تو مو بینی و مجنون پیچش مو تو ابرو او اشارت‌های ابرو اگر در کاسه چشمم نشینی به جز از خوبی لیلا نبینی از این جهت برخی گفته‌اند برخلاف آنچه انسان‌ها خیال می‌کنند که زیبایی عشق می‌آفریند،‌این عشق است که زیبایی را می‌آفریند
جداکردن,نکتة مهم این است که استاد بینش فلسفی را در تحلیل تاریخ عاشورا بکار برد و در تحلیل حوادث به دنبال یافتن علل و شرایط و جداکردن آنها از یکدیگر بود
مسیله,معمولا جنس اکثر کاندومها لاتکس است که جنس ارجح و مرغوب میباشد با اینحال در بازار انواع دیگری از کاندوم هم وجود دارد که بهتر است مصرف کنندگان نسبت به این مسیله هوشیاری لازم را داشته باشند
خمار,محل تجاوز خمار افتاده بود و توجهی به فریادهای همسرش
سنجیدن,بار اصلی در سنجیدن وضعیت هواپیماها در این فرایند بر عهده رادار تقرب فرودگاهی است که یکی از اصلی‌ترین سامانه‌های فرودگاهی به شمار می‌رود
ساییدن,در هنگام کنده شدن موتور، ملخ آن از کابین گذشته و با عبور از کنار شانه عتیقه چی ضمن ساییدن به شانه او، برای آخرین بار به زمین برخورد کرد و از حرکت ایستاد
ساییدن,روش جدید شامل شست‌وشو و خشک کردن نمونه مو، ساییدن با یک پودر، حرارت دادن پودر و سپس استفاده از طیف‌سنجی انتشار نوری برای آنالیز بخار است
واداشتن,"به گزارش پایگاه خبری شبکه العالم ، روزنامه انگلیسی "" دیلی استار ساندی"" به نقل از عمر حسین، داعشی انگلیسی ملقب به ابو سعید انگلیسی، نوشت: «بسیاری از کودکان این روزها از دیدن گاوی که سربریده می شود، هراس دارند؛ ولی ما با واداشتن کودکان به کشتن گروگان ها کاری می کینم که آن ها از جنگ نترسند و ترسو تربیت نشوند»"
بلندکردن,ربات قدیمی ناسا با 104 کیلوگرم وزن می‌تواند 35 حرکت اصلی مثل راه‌رفتن، چرخاندن دست‌ها، بلندکردن پاها و تکان دادن دست‌ها را تقلید کند
تاباندن,این نکته ای است که روزنامه نگاران که این روزها به مناسبت روز خبرنگار مورد توجه مسئولان بخش های مختلف حاکمیت قرار می گیرند، زودتر از دیگران متوجه آن می شوند و همواره در خط مقدم دفاع از آزادی قرار دارند زیرا به این باورند که وجود آزادی بیان نه تنها تضمین کننده استمرار دموکراسی و آزادی شهروندان است بلکه از بسیاری از فسادهایی که به سبب تمرکز قدرت در دست بخش هایی از قدرتمندان به وجود می آید، از جمله فساد اداری، فساد مالی و اقتصادی و فساد سیاسی جلوگیری می کند، زیرا این فسادها در محیط های بسته و تاریک رشد می کند و کار رسانه و روزنامه نگار نور تاباندن بر این محیط های تاریک است
خز,اينايي كه ميرن كلاس گيتار ، بدون استثنا اولين آهنگي كه ياد ميگيرن آهنگ خز شده و ضايعِ “اگه يه روز بري سفر” ميباشد پ
گند,پسره به هزار اميد از نامزدش مي پرسه از كجا بدونم منو واسه خودم دوست داري؟ برگشته ميگه: قيافه و هيكل كه نداري بچه مايه دارم كه نيستي اخلاقتم كه گند دماغه به جز خودت چيزي واسه دوست داشتن نمي مونه عزيز دلم !!
جداشدن,زيرا نخستين مكان جدي كه كودك پس از جداشدن از خانه و خانواده به آن وارد شده و حضور در فضاي جديد را تجربه مي كند، همين دوره است
فراش,مي‌گويد به فراش مدرسه گفته تا تمام كاغذهاي تبليغاتي را كه شبانه به ديوارها چسبانده‌اند برايش بياورد تا او ريزريزشان كند
جابهجا,رانت میلیاردی که در صنعت پتروشیمی جابهجا می‌شود باعث شده تا به زودی با سوال از وزیر صنعت دلیل اصرار وی برای خروج محصولات پتروشیمی از بورس کالا در صحن علنی مجلس را جویا باشیم
حنبلی,او فقه مذهب حنبلی را از پدرش فرا گرفت
حنبلی,گرچه شیخ محمد ادعای پیروی از مذهب حنبلی را داشت و خود را به این مذهب نسبت می‌داد، اما علمای مذهب حنبلی این ادعا را بشدت رد می‌کردند و کتاب‌های زیادی را بر ضد او نوشتند
ابادان,در این دیدار نایب قهرمان فصل گذشته لیگ برتر پالایش نفت ابادان موفق شد گام نخست را محکم برداشته و با حساب 88بر67 به پیروزی برسد
جاافتاده,او با اشاره به نظریه مدیریتی در مقوله امنیت اجتماعی ادامه می‌دهد: بر این اساس،  مدیریت جامع شهری و آیین شهروندی باید به صورت جاافتاده و منطقی وجود داشته باشد؛ آپارتمان نشینی،  رانندگی و سبک زندگی، باید طبق نظامی مشخص و هم گون با توسعه جامعه باشند و اگر جامعه در بخش مردم و مدیریت دچار شکاف شود و یا مدیریت صحیحی در پشت امور شهری دیده نشود، زمینه برای هرگونه وقوع جرم فراهم خواهدشد
فتوکپی,کد خبر: ۴۲۶۵۶   تاریخ انتشار: ۱۳۹۶/۰۵/۱۶ دستگاه های فتوکپی و اسکنرها طوری برنامه ریزی شده اند
تمثیل,ایراد سخن در حد فهم مخاطب، مخاطب‌شناسی و استفاده از همه صفات در ابلاغ کلام و پیام و به کارگیری اشاره و ایهام و تمثیل و تشبیه و محکم و متشابه و همه اینها درس‌های ارزشمند مکتب انبیاء الهی است
دورکردن,مع‌الوصف، کاستی‌های امروز اعم از خبررسانی‌های تفرقه‌انگیز و یا ناظر به تحقیر انسان‌ها اعم از گروه‌ها و اقشار منتسب به یک آیین یا نژاد یا منطقه جغرافیایی و یا رنگ پوست، دورکردن مردم از واقعیت‌ها، کوچک و بزرگ جلوه دادن واقعیت‌ها، عبور از بعضی واقعیت‌ها و پرداختن به بعضی دیگر به مقتضای منافع شخصی و گروهی و منفعت‌طلبی و قلب واقعیت‌ها در خبر و گزارش همه ناشی از دوری و یا بی‌توجهی به تعلیمات الهی است
جاافتاده,می‌توانید خودتان هم ویژگی‌هایی را که به نظرتان مهم است و جاافتاده‌اند، به این فهرست اضافه کنید
ترسیدن,احساس خطر و ترسیدن در بعضی از موقعیت‌های زندگی باعث دوام و بقای‌ ما می‌شود
ایین,وزیر آموزش و پرورش با بیان ایین نکته که متأسفانه در ساختار نظام جدید آموزش و پرورش به جای اینکه به ارکان و اجزای یاد شده بپردازیم، گفت: از جهت ساختار به آن وارد شدیم یعنی گفتیم مقطع ابتدایی به جای 5 سال 6 سال باشد
سیه,عباس جدیدی در پیکارهای وزن 90 کیلوگرم رقابت های سال 1993 جهان در تورنتو کانادا با شکست ماخاربک خادراتسف آزادکار سرشناس روس (دارنده دو مدال طلای المپیک و 5 قهرمانی جهان) به دیدار فینال راه یافت و در دیدار فینال نیز «ملوین داگلاس» کشتی گیر قدرتمند و سیه چرده آمریکایی را از پیش رو برداشت
خمار,کد خبر: ۱۶۴۷۵۸   تاریخ انتشار: ۱۳۹۶/۰۳/۲۵ توهین بازیگر سینما به یک خبرنگار: آقای خمار! انگار یک چیزی بالا انداختی یکی از خبرنگاران به جعفری گفت شما هنرمندان گویا نمی
خواباندن,و شرکت آمریکایی مک دونالد برای خواباندن انتقادها گوجه فرنگی
جاافتاده,"کمی این‌طرف‌تر اما مردی جاافتاده می‌خواهد جلو برود تذکر  بدهد اما می‌ترسد که یکی از شهروندان به او معترض شود و بگوید ""آقا، به تو  چه ارتباطی دارد؟"" و کسی چه می‌داند شاید قمه‌ای زیر آستینی مخفی باشد تا  گلوی وی را بشکافد و فردا تیتر روزنامه‌ها بشود که آمر به معروف بر اثر  اصابت ضربات قمه جان خود را از دست داد"
تاباندن,بخاطر اينکه ابرسيال کوانتومي آنها خيلي ساده با    تاباندن باريکه‌هاي ليزري روي اين افزاره ساخته مي‌شود، مي‌تواند منجر به    ساخت آشکارسازهاي عملي فوق‌حساس شود
هییت,بنابراین به استناد ابلاغیه معاونت طرح و برنامه وستاد کل نیروهای مسلح و به موجب مصوبه هییت وزیران در تاریخ 13 خرداد 95، (ضریب حقوق سال 95 به میزان 1514 ریال) میزان حقوق کارکنان وظیفه به جز اعضای هییت علمی در سال 95 در درجات مختلف به شرح ذیل است: درجه سرباز یا ناوی 1036800 (ریال)
پیچاندن,ایران در مجمع عمومی برای پیچاندن گوش شورای امنیت و دیگر طرف‌های درگیرش آرای زیادی نیافته است
سیه,"متن کامل اشعار به شرح زیر است: ای هلالی که تماشای رخت دلخواه است هله ای ماه! خدای من و تو الله است(1) روز عید است و قنوت است و دعای من و تو اهل جود و جبروت است خدای من و تو کبریا و عظمت چیست؟ ردایش آری عفو و رحمت نمی از بحر عطایش آری و له الشکر که یک ماه مرا مهمان کرد و له الحمد گناهان مرا پنهان کرد بسته شد پنجره عرشی راز رمضان الوداع ای سحر راز و نیاز رمضان الوداع ای شب الغوث شب خَلِّصنا شب قدری که نشد قدر بدانیم تو را بزم قرآن به سر و بندگی درگاهش لیلة القدر و نوای «بک یا اللهش» دم گرفتیم شب گریه به آواز جلی «بعلیٍ بعلیٍ بعلیٍ بعلی» دم گرفتیم به ذکری ابدی و ازلی «بحسین بن علیٍ بحسین بن علی» سخت دلتنگ توایم ای مه کامل! رمضان! ای که از همدمی ات نرم شد این دل، رمضان(2) الوداع ای که لبم را به عطش خوش کردی در دلم شوق گنه بود تو خامُش کردی تشنگی را تو چشاندی به من از روی کرم تا ز یادم نرود تشنگی اهل حرم یا رب ار هست مرا جرم نبخشیده هنوز عیدی ام را بده و در گذر از آن امروز کاش فیض سحر و روزه بماند با ما نور این طاعت سی روزه بماند با ما دل ببندیم به شیرینی امساک ای کاش روزی ما نشود لقمه ناپاک ای کاش ای خوشا روزه هر روزه چشم و دل و کام ای خوشا شیوه پرهیز ز شبهه، ز حرام نگذاریم که آید به سر سفره ما لقمه دوزخی ""رشوه"" و زقوم ""ربا"" پی هر لقمه مبادا که دهان بگشاییم ما که پرورده نان و نمک مولاییم کار و همت همه‌ی رنگ و بوی این خاک است عرق کارگران آبروی این خاک است به عمل کار برآید به سخندانی نیست پینه دست کم از پینه پیشانی نیست کارگر، گرچه عرق، آب وضویش باشد عرق شرم مبادا که به رویش باشد آه از آن دست پر از پینه که حسرت بکشد پدری کز زن و فرزند خجالت بکشد ای نشسته صف اول! نکنی خود را گم پی اقدام تو هستند هنوز این مردم چند روزی تو مقامی به امانت داری منصبت را نکند طعمه خود پنداری(3) راه می جویی اگر، شیوه مولاست دلیل قصه آهن تفتیده و دستان عقیل حرف تبعیض در آیین علی هرگز نیست آهن سرخ گواه است خط قرمز نیست پلک بر هم مگذارید که فرصت رفته ست پلک بر هم زدنی فرصت خدمت رفته ست  نه آنیم که آموخته غرب شویم پی هر وسوسه ای سوخته غرب شویم سیلی از کوخ نشین، کاخ نشین خواهد خورد و زمین‌خوار سرانجام زمین خواهد خورد ""بیست سی"" چیست که تعلیم جهان، از دل ماست هان که جمهوری اسلامی ایران اینجاست اگر از غرب رسد نسخه، خودش بیماری ست قرص خواب است ولی چاره ما بیداری ست تا ابد تربیت از مهر ولی می‌گیریم مشق از غیرت ابروی علی می‌گیریم ما بر آنیم که در مکتب او دیده شویم با علی اصغر و قاسم همه فهمیده شویم تا ابد سستی تسلیم مبادا با ما وحشت از حربه تحریم مبادا با ما باز تحریم جدیدی به سِنا رفت که رفت جسم برجام چو روحش به فنا رفت که رفت ذوق بیهوده ز برجام خطا بود خطا تکیه بر عهد عمو سام خطا بود خطا عهد با دزد سر گردنه بستیم ای دوست بارها عهد شکست و نشکستیم ای دوست هر چه می‌شد بَرَد از کیسه ما بُرد که بُرد ""بُرد بُرد"" این بُوَد آری همه را بُرد که بُرد گفته بودند که دشمن به تجارت آمد پیر ما گفت که البتّه به غارت آمد خواب دیدند صَلاح از طرف بیگانه است به خود آییم نجات همه در این خانه است کارزار است، قدم قاطع و محکم بردار سخن از صلح بگو، اسلحه را هم بردار! راه ما راه حسین است و به خون روشن شد تکیه بر تیغ زد آن دم که جهان دشمن شد نه به دل راه بده واهمه از اخم عدو نه دلت غنج رود باز به لبخندی از او دل به لبخندش اگر باخته ای، باخته ای! گر ز اخمش سپر انداخته ای باخته ای! غم مخور، سست مشو، با صف اعدا بستیز مژده ""لا تهنوا ""(4) میرسد از جا برخیز تا بدانند که هان لشکر احمد ماییم رزمجویان و دلیران محمد ماییم ذوالفقار علوی بود برون شد ز نیام مرحبا، دست مریزاد، سپاه اسلام ناز شست تو دلاور حسن تهرانی زنده ای تا به ابد، فاتح این میدانی هست مدیون تو امنیتمان تا به ابد هست ممنون تو ایران و جهان تا به ابد اینکه چون صاعقه آمد به سرت تکفیری ذوالفقار است که از غرش آن می‌میری وقت آن است سر جای خودت بنشینی با دم شیر مکن بازی، بد میبینی! نوش جان همه‌تان سیلی شش موشک ما که صدایش برسد تا به ریاض و حیفا (شترقش برسد تا به ریاض و حیفا !) این قدَر بمب نچسبان به کمر ای نامرد! صبر کن موشک ما منفجرت خواهد کرد ای ابوجهل که در کشتن خود استادی خر دجالی و افسار به صهیون دادی ای سیه روی که از نفت سعود آمده ای بچه ابلیس که از ناف یهود آمده ای دشمن از ابلهی‌اش در طمع خام افتاد تشت رسوایی‌اش اما ز سر بام افتاد جاهلیت چه سعودی و چه غربی یکجا گرم رقصند، عجب منظره ای باب هَجا رقص شمشیر چو در خیمه دشمن برپاست سپر انداختن و طعنه به شمشیر خطاست آری آرامش ما مرد خطر می‌طلبد صبح پیروزی ما خون جگر می‌طلبد «می وزد از همه جا بوی گل یاس شهید از کجا آمده اند این همه عباس شهید ذوالجناح از نفس اینبار نخواهد افتاد علم از دست علمدار نخواهد افتاد»(5) در دفاع از حرم، آیینه آن سقاییم همچو عباس، علمدار ولایت ماییم این زره پشت ندارد منگر برگردیم تیغ در دست، به ره، منتظر ناوردیم قدس ای قبله آغاز که پایان با توست مهر باطل شدن فتنه شیطان با توست تو کلید همه گمشدگی‌ها هستی قدس ای قدس! تو آزادی دنیا هستی منشینید به غم شام بلا می‌گذرد راه ما از سفر کرببلا می‌گذرد کلمه های کلیدی"
انباشتن,به این دلیل كه این كار باعث آسیب به معده می‌شود؛ چون ساعت‌ها خالی بوده و انباشتن ناگهانی معده، سلامت آن را به خطر می‌اندازد
درخشیدن,به هرحال مثل همیشه برای تیم ملی و بازیکنان ایران آرزوی موفقیت دارم و چشم انتظار درخشیدن آنها در تورنمنت های بسیار مهم تر هستم
تاباندن,به گزارش ایرنا در روش لیزری تبدیل گاز متان، با تاباندن نور لیزر به ملکول های این گاز سطح انرژی آنها افزایش یافته و شکسته می شوند و ساختار جدیدی را در دما و فشار محیط تشکیل می دهند که منجر به تولید هیدروکربن های سنگین تر می شود
کشدار,سخن آخر را بگوئیم  و این ماجرای کشدار را تمام کنیم
کشدار,تاریخ انتشار : يکشنبه ۱۷ اسفند ۱۳۹۳ ساعت ۱۳:۲۰ مدت هاست سخن از ترافیک و راه بندانهای طولانی و کشدار، دیگرموضوعیتی ندارد تا بشود با تجزیه و تحلیل زوایای پیدا و پنهان، امید ره یافتی برای برون رفت از این معضل پیچیده شهری متصور بود
پیچاندن,ها بازارگرمی پیچیدن و پیچاندن یکدیگر و طبیعی است که
اهنگ,مثلا اهنگ دارک سولز وقتی به ی باس میرسی و اهنگه پخش میشه و تو دور باس میچرخی هیچ چیز حماسی تر از اون لحظه نیست
اهنگ,مثلا اهنگ دارک سولز وقتی به ی باس میرسی و اهنگه پخش میشه و تو دور باس میچرخی هیچ چیز حماسی تر از اون لحظه نیست
شتری,همچنین هنگام این جشن در سیستان مردم دختری را بر شتری آذین شده می‌نشانند و همراه با شادی و سرود او را به سمت دریاچه هامون می‌برند
سنجیدن,بنابراین با استفاده از خمیر مرغ مخالفت کردیم و هنوز هم مخالف هستیم چراکه امکان سنجیدن صحت و سلامت آن وجود ندارد
سنجیدن,پس چه چیز مشخص می کند که یک پاوربانک چقدر سریع شارژ می شود؟ عواملی برای سنجیدن این موضوع وجود دارد
سیه,اما یادتان باشد که پایان هر شب سیه سفید است !  شما معمولا خیلی تمایل ندارید مسیر خود را خیلی سریع عوض کنید و همین کمکتان می‌کند تفاوت بین شادی و ناراحتی را خوب درک کنید
گند,"در ابتدا ایشان پیرامون علاقه‌اش به تاریخ و اثرپذیری که از تاریخ برای خلق بازی‌هایش داشته گفت: ""حس می کنم که به عنوان انسانی که الان روی کره زمین زندگی می‌کنه، ما تغییرپذیر هستیم و طوری که زندگی می‌کنیم به چیزی که هستیم رابطه مستقیم داره که این یعنی ما همه حیواناتی هستیم که گند زدیم به اقلیم خودمون"
